(1.0, 0.0, 0.0),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922)
(1.0, 0.0, 0.0),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922)
(1.0, 0.0, 0.0),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922)
(1.0, 0.0, 0.0),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.86275, 0.09804, 0.03922),(0.96078, 0.0, 0.03922)
(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922)
(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922)
(0.84314, 0.11765, 0.03922),(0.84314, 0.11765, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.92157, 0.03922, 0.03922),(0.96078, 0.0, 0.03922)
(0.80392, 0.15686, 0.03922),(0.76471, 0.19608, 0.03922),(0.92157, 0.03922, 0.03922),(0.92157, 0.03922, 0.03922),(0.92157, 0.03922, 0.03922),(0.86275, 0.09804, 0.03922)
(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922)
(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922)
(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922)
(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.92157, 0.03922, 0.03922),(0.96078, 0.0, 0.03922)
(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922)
(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.92157, 0.03922, 0.03922),(0.96078, 0.0, 0.03922)
(0.88235, 0.07843, 0.03922),(0.84314, 0.11765, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.88235, 0.07843, 0.03922),(0.88235, 0.07843, 0.03922)
(0.84314, 0.11765, 0.03922),(0.84314, 0.11765, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.88235, 0.07843, 0.03922),(0.92157, 0.03922, 0.03922)
(0.88235, 0.07843, 0.03922),(0.88235, 0.07843, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.88235, 0.07843, 0.03922),(0.90196, 0.05882, 0.03922)
(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922)
(0.92157, 0.03922, 0.03922),(0.92157, 0.03922, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.88235, 0.07843, 0.03922),(0.90196, 0.05882, 0.03922)
(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.88235, 0.07843, 0.03922),(0.88235, 0.07843, 0.03922)
(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.90196, 0.05882, 0.03922)
(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.90196, 0.05882, 0.03922)
(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922)
(0.90196, 0.05882, 0.03922),(0.88235, 0.07843, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.90196, 0.05882, 0.03922),(0.92157, 0.03922, 0.03922)
(0.86275, 0.09804, 0.03922),(0.90196, 0.05882, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.90196, 0.05882, 0.03922),(0.90196, 0.05882, 0.03922)
(0.86275, 0.09804, 0.03922),(0.88235, 0.07843, 0.03922),(0.94118, 0.01961, 0.03922),(0.94118, 0.01961, 0.03922),(0.90196, 0.05882, 0.03922),(0.90196, 0.05882, 0.03922)
(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.92157, 0.03922, 0.03922),(0.94118, 0.01961, 0.03922)
(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.96078, 0.0, 0.03922),(0.96078, 0.0, 0.03922),(0.94118, 0.01961, 0.03922),(0.92157, 0.03922, 0.03922)
